Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
212;Season 1;winter is coming;Is he dead yet?;benjen;1;1;17/04/2011
213;Season 1;winter is coming;Uncle Benjen;jon;1;1;17/04/2011
214;Season 1;winter is coming;You got bigger I rode all day Didn’t want to leave you alone with the Lannisters Why aren’t you at the feast?;benjen;1;1;17/04/2011
215;Season 1;winter is coming;Lady Stark thought it might insult the royal family to seat a bastard in their midst;jon;1;1;17/04/2011
216;Season 1;winter is coming;Well, you’re always welcome on the wall No bastard was ever refused a seat there;benjen;1;1;17/04/2011
217;Season 1;winter is coming;So take me with you when you go back;jon;1;1;17/04/2011
218;Season 1;winter is coming;Jon;benjen;1;1;17/04/2011
219;Season 1;winter is coming;Father will let me if you ask him, I know he will;jon;1;1;17/04/2011
220;Season 1;winter is coming;The Wall isn’t going anywhere;benjen;1;1;17/04/2011
221;Season 1;winter is coming;I’m ready to swear your oath;jon;1;1;17/04/2011
222;Season 1;winter is coming;You don’t understand what you’d be giving up We have no families None of us will ever father sons;benjen;1;1;17/04/2011
223;Season 1;winter is coming;I don’t care about that;jon;1;1;17/04/2011
224;Season 1;winter is coming;You might, if you knew what it meant I’d better get inside Rescue your father from his guests We’ll talk later;benjen;1;1;17/04/2011
225;Season 1;winter is coming;Your uncle’s in the Night’s Watch;tyrion;1;1;17/04/2011
226;Season 1;winter is coming;What’re you doing back there?;jon;1;1;17/04/2011
227;Season 1;winter is coming;Preparing for a night with your family I’ve always wanted to see the Wall;tyrion;1;1;17/04/2011
228;Season 1;winter is coming;You’re Tyrion Lannister The queen’s brother?;jon;1;1;17/04/2011
229;Season 1;winter is coming;My greatest accomplishment You – you’re Ned Stark’s bastard, aren’t you?;tyrion;1;1;17/04/2011
230;Season 1;winter is coming;Did I offend you? Sorry You are the bastard, though;tyrion;1;1;17/04/2011
231;Season 1;winter is coming;Lord Eddard Stark is my father;jon;1;1;17/04/2011
232;Season 1;winter is coming;And Lady Stark is not your mother Making you a bastard Let me give you some advice, bastard Never forget what you are The rest of the world will not Wear it like armor Then it can never be used to hurt you;tyrion;1;1;17/04/2011
233;Season 1;winter is coming;What the hell do you know about being a bastard?;jon;1;1;17/04/2011
234;Season 1;winter is coming;All dwarves are bastards in their fathers’ eyes;tyrion;1;1;17/04/2011
235;Season 1;winter is coming;You at a feast It’s like a bear in a trap;benjen;1;1;17/04/2011
236;Season 1;winter is coming;The boy I beheaded Did you know him?;ned;1;1;17/04/2011
237;Season 1;winter is coming;Of course I did Just a lad But he was tough, Ned A true Ranger;benjen;1;1;17/04/2011
238;Season 1;winter is coming;He was talking madness Said the Walkers slaughtered his friends;ned;1;1;17/04/2011
239;Season 1;winter is coming;The two he was with are still missing;benjen;1;1;17/04/2011
240;Season 1;winter is coming;A wildling ambush;ned;1;1;17/04/2011
241;Season 1;winter is coming;Maybe Direwolves south of the wall Talk of the Walkers My brother might be the next Hand to the king Winter is coming;benjen;1;1;17/04/2011
242;Season 1;winter is coming;Winter is coming;ned;1;1;17/04/2011
243;Season 1;winter is coming;Uncle Benjen;robb;1;1;17/04/2011
244;Season 1;winter is coming;Robb boy How are ye?;benjen;1;1;17/04/2011
245;Season 1;winter is coming;I’m good CATELYN Is this your first time in the North, Your Grace?;robb;1;1;17/04/2011
246;Season 1;winter is coming;Yes Lovely country;cersei;1;1;17/04/2011
247;Season 1;winter is coming;I’m sure it’s very grim, after Kings Landing I remember how scared I was when Ned brought me up here for the first time;catelyn;1;1;17/04/2011
248;Season 1;winter is coming;Hello, little dove But you are a beauty How old are you?;cersei;1;1;17/04/2011
249;Season 1;winter is coming;Thirteen, Your Grace;sansa;1;1;17/04/2011
250;Season 1;winter is coming;You’re tall Still growing?;cersei;1;1;17/04/2011
251;Season 1;winter is coming;I think so, Your Grace;sansa;1;1;17/04/2011
252;Season 1;winter is coming;And have you bled yet?;cersei;1;1;17/04/2011
253;Season 1;winter is coming;No, Your Grace;sansa;1;1;17/04/2011
254;Season 1;winter is coming;And your dress Did you make it?;cersei;1;1;17/04/2011
255;Season 1;winter is coming;Such talent You must make something for me;cersei;1;1;17/04/2011
256;Season 1;winter is coming;I hear we might share a grandchild someday;cersei;1;1;17/04/2011
257;Season 1;winter is coming;I hear the same;catelyn;1;1;17/04/2011
258;Season 1;winter is coming;Your daughter will do well in the capital Such a beauty shouldn’t stay hidden up here forever;cersei;1;1;17/04/2011
259;Season 1;winter is coming;Your pardon;ned;1;1;17/04/2011
260;Season 1;winter is coming;I hear we might be neighbors soon I hope it’s true;jaime;1;1;17/04/2011
261;Season 1;winter is coming;Yes, the king has honored me with his offer;ned;1;1;17/04/2011
262;Season 1;winter is coming;I’m sure we’ll have a tournament to celebrate the new title, if you accept It would be good to have you in the field The competition has become a bit stale;jaime;1;1;17/04/2011
263;Season 1;winter is coming;I don’t fight in tournaments;ned;1;1;17/04/2011
264;Season 1;winter is coming;No? Getting a little old for it?;jaime;1;1;17/04/2011
265;Season 1;winter is coming;I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do;ned;1;1;17/04/2011
266;Season 1;winter is coming;Well said;jaime;1;1;17/04/2011
267;Season 1;winter is coming;Arya;sansa;1;1;17/04/2011
268;Season 1;winter is coming;Time for bed;robb;1;1;17/04/2011
269;Season 1;winter is coming;I’m a Northman I belong here with you, not down south in that rat’s nest they call a capital;ned;1;1;17/04/2011
270;Season 1;winter is coming;I won’t let him take you;catelyn;1;1;17/04/2011
271;Season 1;winter is coming;The king takes what he wants That’s why he’s king;ned;1;1;17/04/2011
272;Season 1;winter is coming;I’ll say, Listen, fat man, you are not taking my husband anywhere He belongs to me now;catelyn;1;1;17/04/2011
273;Season 1;winter is coming;How did he get so fat?;ned;1;1;17/04/2011
274;Season 1;winter is coming;He only stops eating when it’s time for a drink;catelyn;1;1;17/04/2011
275;Season 1;winter is coming;It’s Maester Luwin, my lord;a voice;1;1;17/04/2011
276;Season 1;winter is coming;Send him in;ned;1;1;17/04/2011
277;Season 1;winter is coming;Pardon, my lord, my lady A rider in the night from your sister;luwin;1;1;17/04/2011
278;Season 1;winter is coming;Stay;ned;1;1;17/04/2011
279;Season 1;winter is coming;This was sent from the Eyrie What’s she doing at the Eyrie? She hasn’t been back there since her wedding;catelyn;1;1;17/04/2011
280;Season 1;winter is coming;What news?;ned;1;1;17/04/2011
281;Season 1;winter is coming;She’s fled the capital She says Jon Arryn was murdered By the Lannisters She says the king is in danger;catelyn;1;1;17/04/2011
282;Season 1;winter is coming;She’s fresh widowed, Cat She doesn’t know what she’s saying;ned;1;1;17/04/2011
283;Season 1;winter is coming;Lysa’s head would be on a spike right now if the wrong people had found that letter Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was murdered?;catelyn;1;1;17/04/2011
284;Season 1;winter is coming;If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?;luwin;1;1;17/04/2011
285;Season 1;winter is coming;They murdered the last Hand Now you want Ned to take the job;catelyn;1;1;17/04/2011
286;Season 1;winter is coming;The king rode for a month to ask Lord Stark’s help He’s the only one he trusts You swore the king an oath, my lord;luwin;1;1;17/04/2011
287;Season 1;winter is coming;He spent half his life fighting Robert’s wars He owes him nothing Your father and brother rode south once on a king’s demand;catelyn;1;1;17/04/2011
288;Season 1;winter is coming;A different time Different king;luwin;1;1;17/04/2011
289;Season 1;winter is coming;When do I meet with the Khal? We need to begin planning the invasion;viserys;1;1;17/04/2011
290;Season 1;winter is coming;If Khal Drogo has promised you a crown, you shall have it;illyrio;1;1;17/04/2011
291;Season 1;winter is coming;When?;viserys;1;1;17/04/2011
292;Season 1;winter is coming;When their omens favor war;illyrio;1;1;17/04/2011
293;Season 1;winter is coming;I piss on Dothraki omens I waited 17 years to get my throne back;viserys;1;1;17/04/2011
294;Season 1;winter is coming;A Dothraki wedding without at least three deaths is considered a dull affair;illyrio;1;1;17/04/2011
295;Season 1;winter is coming;A small gift for the new Khaleesi Songs and histories from the Seven Kingdoms;jorah;1;1;17/04/2011
